# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/home/edu/mapping/Ath_TAIR10_genome/Arabidopsis_thaliana.TAIR10.52.gtf" "-o" "2022_03_04_feature_counts_gene_hisat2.txt" "-t" "gene" "-g" "gene_id" "-O" "-T" "4" "GFP-BRC1-2_hisat2_sorted.bam" "GFP-BRC1-4_hisat2_sorted.bam" "GFP-BRC1-5_hisat2_sorted.bam" "brc1-2-12_hisat2_sorted.bam" "brc1-2-6_hisat2_sorted.bam" "brc1-2-7_hisat2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	GFP-BRC1-2_hisat2_sorted.bam	GFP-BRC1-4_hisat2_sorted.bam	GFP-BRC1-5_hisat2_sorted.bam	brc1-2-12_hisat2_sorted.bam	brc1-2-6_hisat2_sorted.bam	brc1-2-7_hisat2_sorted.bam
AT1G23250	1	8255127	8256770	-	1644	0	0	0	0	0	0
AT1G23260	1	8256854	8258725	-	1872	1075	1143	1675	1373	1785	1072
AT1G23270	1	8259602	8260144	-	543	0	0	0	0	0	0
AT1G23280	1	8260608	8262795	-	2188	3559	3221	5395	3099	4726	2868
AT1G23290	1	8262925	8263739	+	815	13713	14028	18804	10370	19069	11231
AT1G23300	1	8262939	8266048	-	3110	13713	14028	18804	10370	19070	11231
AT1G23310	1	8268385	8272021	-	3637	17443	17480	30634	35274	36831	19498
AT1G23320	1	8273423	8275350	-	1928	0	1	0	1	0	1
AT1G23330	1	8279554	8282421	-	2868	750	677	1120	903	1097	664
AT1G23340	1	8283644	8286969	-	3326	139	113	205	140	241	117
AT1G23350	1	8293020	8294264	-	1245	4	3	5	6	5	5
AT1G23360	1	8295078	8296941	-	1864	727	733	1018	924	1152	839
AT1G23380	1	8297241	8302651	-	5411	303	259	408	220	438	235
AT1G05797	1	8303208	8303425	-	218	0	1	1	0	0	0
AT1G05803	1	8303801	8304028	-	228	0	0	0	0	0	0
AT1G05807	1	8304660	8304901	+	242	0	0	0	1	0	0
AT1G05813	1	8305917	8306115	-	199	0	0	0	0	0	0
AT1G23390	1	8308965	8310916	-	1952	2126	2353	3907	6549	7353	3453
AT1G23400	1	8311984	8315876	-	3893	3259	3035	4533	3824	5737	3464
AT1G23410	1	8314853	8315737	+	885	1305	1222	1640	731	2040	1051
AT1G23420	1	8317297	8319491	+	2195	1	0	0	0	0	0
AT1G05817	1	8319663	8320431	-	769	0	0	0	0	0	0
AT1G23440	1	8321611	8324497	+	2887	1782	1981	3069	3260	3288	1808
AT1G23450	1	8324698	8326697	+	2000	87	79	122	94	134	110
AT1G23460	1	8326747	8329782	+	3036	486	438	635	468	778	456
AT1G23465	1	8329924	8331104	+	1181	39	20	48	45	67	41
AT1G23480	1	8332862	8336414	+	3553	1115	891	1794	2011	2897	1309
AT1G23490	1	8336593	8338827	+	2235	10306	11154	17294	14177	16431	9920
AT1G23500	1	8339668	8341072	+	1405	0	1	0	1	0	0
AT1G23510	1	8341388	8342796	-	1409	2	1	1	2	1	0
AT1G23520	1	8343424	8344839	-	1416	2	0	3	6	10	2
AT1G23530	1	8345595	8346733	+	1139	163	149	219	158	231	136
AT1G23540	1	8346827	8350068	-	3242	23	26	45	34	49	27
AT1G23550	1	8350728	8352791	+	2064	125	299	477	581	185	128
AT1G23560	1	8352615	8354619	-	2005	99	135	236	220	190	115
AT1G23570	1	8354806	8356507	-	1702	0	0	0	1	1	0
AT1G23580	1	8357446	8358805	-	1360	3	2	2	0	4	0
AT1G23590	1	8359125	8360645	-	1521	0	0	0	0	0	0
AT1G23600	1	8360978	8362485	-	1508	2	1	2	0	3	0
AT1G23610	1	8362864	8363675	-	812	0	0	0	1	0	0
AT1G05823	1	8363895	8364276	+	382	0	0	0	0	0	0
AT1G23640	1	8366941	8368381	-	1441	0	0	0	0	0	0
AT1G23645	1	8369097	8370340	-	1244	0	0	0	0	0	0
AT1G23650	1	8371020	8371106	-	87	0	0	0	0	0	1
AT1G23660	1	8371609	8372845	-	1237	0	0	0	1	0	0
AT1G23670	1	8373239	8375897	-	2659	0	0	0	1	0	0
AT1G23680	1	8376687	8377156	-	470	0	0	0	0	0	0
AT1G23690	1	8377262	8378769	-	1508	0	0	2	0	0	0
AT1G23700	1	8378972	8382290	-	3319	8	6	10	10	16	11
AT1G23710	1	8385188	8386522	+	1335	202	245	373	433	375	265
AT1G05827	1	8387406	8387640	-	235	0	0	0	0	0	0
AT1G23720	1	8388297	8391623	+	3327	3114	1496	5394	7129	5156	4251
AT1G23730	1	8395466	8398387	+	2922	361	315	463	372	666	375
AT1G23740	1	8398115	8399836	-	1722	1693	1621	2421	1896	3385	1679
AT1G23750	1	8400056	8401550	+	1495	432	415	639	450	827	406
AT1G23760	1	8401808	8404301	+	2494	69	49	127	80	133	54
AT1G23770	1	8405214	8406266	-	1053	0	0	6	2	2	0
AT1G23780	1	8406663	8408530	-	1868	1261	1214	1816	1434	1747	1022
AT1G23790	1	8409945	8412079	+	2135	357	371	352	247	463	351
AT1G23800	1	8412051	8414886	-	2836	871	786	1218	939	1543	747
AT1G23810	1	8417495	8418566	+	1072	0	0	0	0	1	0
AT1G23820	1	8420265	8422985	+	2721	8088	7912	11383	6788	10871	6433
AT1G05833	1	8420941	8421628	-	688	592	508	796	503	718	447
AT1G23830	1	8422960	8424088	-	1129	84	86	160	187	183	132
AT1G05837	1	8423069	8424073	+	1005	82	74	155	179	169	119
AT1G23840	1	8424142	8425385	-	1244	21	10	45	80	33	37
AT1G23850	1	8425724	8427235	-	1512	69	99	191	166	166	86
AT1G23860	1	8427257	8429498	-	2242	1200	1105	1614	867	1388	834
AT1G23870	1	8432179	8435656	+	3478	2074	1825	3551	2699	2827	1655
AT1G23880	1	8435657	8438811	+	3155	320	299	515	261	309	224
AT1G23890	1	8438766	8440866	-	2101	338	306	437	307	507	259
AT1G23900	1	8441073	8447681	+	6609	2140	1699	3234	2588	2917	1901
AT1G23910	1	8451068	8451289	-	222	0	1	0	0	1	0
AT1G23915	1	8457659	8458946	+	1288	0	0	0	0	0	0
AT1G23935	1	8461757	8469573	+	7817	265	226	338	156	366	189
AT1G23950	1	8469533	8471417	-	1885	1824	1698	2646	1493	2047	1128
AT1G23960	1	8478391	8480356	-	1966	1401	1340	1887	1687	2267	1252
AT1G23965	1	8480422	8481599	-	1178	1	5	5	10	3	2
AT1G23970	1	8481997	8483875	-	1879	460	405	591	372	507	273
AT1G23980	1	8484703	8486002	-	1300	305	265	414	222	323	197
AT1G23985	1	8485337	8487029	+	1693	208	151	253	127	181	121
AT1G05843	1	8486887	8487482	+	596	3	6	3	4	3	3
AT1G23995	1	8487048	8487347	-	300	3	5	3	3	3	3
AT1G05847	1	8487212	8487558	-	347	1	4	0	1	3	2
AT1G24000	1	8495908	8496566	-	659	2	2	3	3	5	0
AT1G24010	1	8498803	8499517	-	715	1	0	1	2	0	0
AT1G24020	1	8500119	8502065	-	1947	4592	5294	5166	4388	7373	5352
AT1G24030	1	8503217	8505460	+	2244	194	191	311	270	417	198
AT1G24040	1	8503777	8506837	-	3061	713	667	1095	949	1280	704
AT1G24050	1	8506968	8508909	+	1942	2388	2341	3355	2300	3496	2064
AT1G24060	1	8509736	8510056	-	321	0	0	0	0	0	0
AT1G24062	1	8510401	8510967	-	567	0	0	0	1	0	0
AT1G24068	1	8515506	8515971	+	466	2	6	1	2	7	4
AT1G24070	1	8516166	8519984	-	3819	110	125	110	77	208	122
AT1G24080	1	8520290	8520363	-	74	0	0	0	0	0	0
AT1G24090	1	8520443	8523193	+	2751	490	404	674	406	800	449
AT1G24095	1	8523225	8524929	+	1705	186	207	287	208	330	204
AT1G05853	1	8525104	8525204	-	101	0	0	1	0	1	0
AT1G24100	1	8525334	8527087	-	1754	2046	2844	4364	4723	4325	2784
AT1G24110	1	8527714	8529018	+	1305	0	0	0	0	0	0
AT1G24120	1	8529064	8532262	-	3199	1140	1042	1552	1338	1700	1057
AT1G24130	1	8534146	8535660	-	1515	31	41	45	24	64	24
AT1G24140	1	8535999	8537780	-	1782	8	27	47	84	13	41
AT1G05857	1	8539957	8540308	-	352	0	0	0	0	0	0
AT1G24145	1	8540838	8542053	+	1216	24	38	53	48	28	14
AT1G24147	1	8542212	8543545	+	1334	12	42	27	49	14	36
AT1G24148	1	8544248	8545590	+	1343	91	92	135	131	163	85
AT1G24150	1	8549191	8552086	+	2896	924	852	1469	968	953	719
AT1G24159	1	8552775	8553385	+	611	0	0	1	0	0	0
AT1G24160	1	8553313	8556750	-	3438	3005	2642	4035	3836	4143	2781
AT1G24170	1	8557215	8559066	-	1852	2169	2109	3150	3297	3547	2325
AT1G24180	1	8560420	8563502	-	3083	5447	5108	8434	8005	9714	5562
AT1G24190	1	8563510	8570580	-	7071	1718	1371	2534	2347	2778	1638
AT1G24200	1	8571173	8572377	-	1205	0	0	1	0	1	0
AT1G24210	1	8573544	8575184	-	1641	67	90	103	50	103	54
AT1G24220	1	8578658	8582767	-	4110	0	1	1	0	1	0
AT1G24230	1	8584039	8585135	-	1097	0	0	2	0	0	1
AT1G24240	1	8586335	8588180	+	1846	573	560	785	629	844	504
AT1G24250	1	8588295	8589546	-	1252	0	0	0	0	0	0
AT1G24256	1	8592078	8592989	+	912	0	0	0	0	1	1
AT1G24260	1	8593536	8596123	-	2588	250	271	335	499	382	456
AT1G05863	1	8598624	8598990	+	367	0	0	0	0	0	0
AT1G24265	1	8600391	8603913	+	3523	362	311	472	232	455	236
AT1G24267	1	8604022	8607484	-	3463	2291	2014	3148	2116	2812	1732
AT1G24270	1	8607851	8608763	-	913	208	216	327	111	70	50
AT1G24280	1	8609338	8612580	+	3243	4167	4029	6454	6704	5850	4222
AT1G05867	1	8610507	8610821	-	315	199	182	310	358	260	196
AT1G24290	1	8612505	8614283	-	1779	238	273	356	302	317	235
AT1G05873	1	8613169	8614053	+	885	101	127	158	132	157	112
AT1G24300	1	8614363	8620664	-	6302	1794	1236	2347	2159	2253	1524
AT1G24310	1	8624014	8626405	+	2392	2248	1866	3075	1715	2498	1618
AT1G24320	1	8626315	8631027	-	4713	132	142	195	213	221	110
AT1G24330	1	8631206	8635055	+	3850	82	74	106	75	105	56
AT1G24340	1	8635187	8638986	+	3800	900	698	1153	928	1180	732
AT1G24350	1	8638520	8640825	-	2306	1383	1238	1920	1583	1927	1178
AT1G24360	1	8640582	8643503	+	2922	8075	7987	11310	7253	10565	6685
AT1G24380	1	8646056	8647674	+	1619	0	0	2	0	2	0
AT1G24388	1	8648099	8648694	-	596	0	0	0	0	0	0
AT1G24390	1	8648201	8648995	+	795	0	0	2	0	0	1
AT1G05887	1	8649780	8650020	+	241	0	0	0	0	0	0
AT1G05893	1	8649816	8650056	-	241	0	0	0	0	0	0
AT1G05897	1	8650622	8650899	+	278	0	0	1	0	0	0
AT1G24400	1	8651407	8653915	-	2509	159	135	226	238	315	169
AT1G24405	1	8654945	8655662	+	718	20	13	22	28	24	20
AT1G24420	1	8656021	8657997	+	1977	6	8	8	12	19	11
AT1G24430	1	8658003	8659514	-	1512	100	86	168	241	252	158
AT1G05903	1	8659678	8660351	+	674	0	0	0	0	0	0
AT1G24440	1	8661838	8664007	+	2170	333	321	505	789	952	410
AT1G24450	1	8664097	8665569	+	1473	379	294	453	463	578	377
AT1G24460	1	8665874	8672651	+	6778	2700	1952	3705	3053	3314	2278
AT1G24470	1	8673914	8676408	+	2495	19	16	41	46	37	21
AT1G24475	1	8676282	8676343	-	62	0	0	2	1	0	0
AT1G24480	1	8676360	8677228	-	869	5	5	5	2	15	6
AT1G24485	1	8678858	8681894	+	3037	0	0	0	2	3	1
AT1G24490	1	8682195	8685271	+	3077	2150	1961	3216	2040	2667	1789
AT1G24510	1	8685271	8688247	-	2977	11133	10412	15263	9620	15696	9432
AT1G24520	1	8688563	8689268	+	706	5	9	9	4	3	5
AT1G24530	1	8692630	8694705	+	2076	2104	1974	3291	1922	1873	1434
AT1G24540	1	8699650	8701458	+	1809	2	0	5	12	2	14
AT1G24545	1	8701112	8702477	-	1366	35	33	53	50	47	37
AT1G24560	1	8702361	8705879	+	3519	1108	1008	1699	1566	1693	1097
AT1G24570	1	8706800	8709782	+	2983	11	10	8	8	5	4
AT1G24580	1	8709941	8710824	+	884	356	453	803	342	385	66
AT1G24575	1	8710847	8711578	-	732	283	300	349	244	418	236
AT1G24577	1	8712478	8713225	-	748	21	17	40	39	61	37
AT1G24590	1	8714365	8715378	-	1014	3	3	4	1	3	4
AT1G24600	1	8720309	8720721	+	413	52	52	64	45	84	41
AT1G24610	1	8720651	8722825	-	2175	1332	1315	1931	1474	1740	1165
AT1G24620	1	8723627	8724711	-	1085	9	4	10	77	58	24
AT1G24625	1	8725789	8727212	-	1424	511	463	751	651	986	559
AT1G24650	1	8734570	8737315	+	2746	0	0	1	1	0	0
AT1G24660	1	8740205	8740469	+	265	0	0	0	0	0	0
AT1G24706	1	8741836	8755604	+	13769	3209	2438	4413	3458	4213	2748
AT1G05907	1	8756228	8756303	-	76	0	4	1	1	2	0
AT1G05913	1	8756253	8756570	-	318	8	16	11	5	22	5
AT1G05917	1	8756361	8756459	-	99	6	11	9	2	12	4
AT1G24735	1	8757864	8759645	+	1782	140	156	212	66	160	83
AT1G24764	1	8759533	8763469	-	3937	1920	1522	2466	1687	2766	1584
AT1G24793	1	8767562	8769571	+	2010	0	0	0	0	0	0
AT1G24800	1	8769511	8771553	+	2043	0	0	0	0	0	0
AT1G24807	1	8771370	8773535	-	2166	0	1	0	0	0	0
AT1G24822	1	8774997	8777882	-	2886	10	5	9	8	9	2
AT1G24880	1	8775901	8778072	+	2172	9	5	8	7	8	2
AT1G24851	1	8778280	8780257	+	1978	0	0	1	0	0	0
AT1G24881	1	8784036	8785634	+	1599	1	0	0	0	0	0
AT1G24909	1	8785785	8787914	-	2130	0	0	0	0	0	0
AT1G24996	1	8799520	8800410	-	891	0	0	0	1	0	0
AT1G25025	1	8800808	8801584	+	777	0	0	0	0	0	0
AT1G25054	1	8804489	8806361	+	1873	0	0	0	0	0	0
AT1G25055	1	8806607	8808156	+	1550	0	0	0	0	0	1
AT1G25083	1	8808549	8810443	-	1895	0	0	0	0	0	0
AT1G25097	1	8811733	8814788	-	3056	0	0	0	0	1	0
AT1G25098	1	8812695	8815264	+	2570	0	0	0	0	1	0
AT1G25112	1	8815186	8815962	+	777	0	0	0	0	0	0
AT1G25141	1	8817678	8818395	+	718	0	0	0	0	0	0
AT1G25145	1	8818867	8820736	+	1870	1	0	0	0	0	0
AT1G25150	1	8821008	8822843	+	1836	0	0	1	0	1	0
AT1G25155	1	8822692	8824821	-	2130	0	0	0	0	0	0
AT1G25175	1	8826983	8829682	+	2700	0	0	0	0	0	0
AT1G25180	1	8829564	8831390	+	1827	0	0	0	0	1	1
AT1G25210	1	8833245	8835235	+	1991	0	0	0	0	0	0
AT1G25211	1	8835386	8837007	+	1622	118	113	170	149	146	91
AT1G05927	1	8835419	8836850	-	1432	118	112	169	148	146	91
AT1G25220	1	8836835	8839609	-	2775	1079	1417	2442	2531	1693	1230
AT1G05933	1	8838445	8839139	+	695	134	197	381	413	261	184
AT1G25230	1	8840203	8842445	-	2243	1050	880	1473	1414	2144	1068
AT1G05937	1	8843774	8844366	+	593	0	0	2	3	3	1
AT1G25240	1	8845142	8846726	+	1585	0	0	0	5	18	6
AT1G05943	1	8849006	8849506	-	501	38	32	59	28	16	27
AT1G25250	1	8849034	8851790	+	2757	262	250	376	197	175	143
AT1G05947	1	8852648	8853171	-	524	0	0	2	0	0	0
AT1G05953	1	8852719	8853071	+	353	0	0	1	0	0	0
AT1G25260	1	8853534	8855874	-	2341	5811	5321	8039	4482	7766	4540
AT1G25270	1	8857726	8859909	+	2184	0	3	1	3	3	2
AT1G25275	1	8860527	8861522	+	996	2732	3572	4886	4435	4483	2787
AT1G25277	1	8861734	8862797	+	1064	21	38	55	34	38	26
AT1G25280	1	8863768	8866894	+	3127	2071	2024	3220	2365	2645	1753
AT1G25290	1	8867024	8869289	+	2266	438	467	590	465	563	341
AT1G25300	1	8871568	8872386	+	819	0	0	0	0	0	1
AT1G25310	1	8874124	8874834	-	711	0	0	0	0	0	1
AT1G05957	1	8876312	8876558	+	247	0	0	0	0	0	0
AT1G25320	1	8877790	8880388	+	2599	509	512	707	578	845	502
AT1G25330	1	8880267	8882100	-	1834	1	4	4	2	2	2
AT1G25340	1	8885020	8886777	+	1758	1	1	0	0	0	0
AT1G25350	1	8889018	8894306	-	5289	5197	4276	7188	4477	6665	4070
AT1G25360	1	8894380	8897124	+	2745	225	209	284	216	352	203
AT1G25370	1	8897564	8899111	-	1548	237	313	567	572	436	258
AT1G25375	1	8900110	8903428	-	3319	605	551	779	629	765	503
AT1G25380	1	8903405	8906455	+	3051	1497	1368	2143	1418	1855	1137
AT1G25390	1	8906029	8909334	-	3306	541	460	913	1275	1220	951
AT1G25400	1	8911096	8912822	-	1727	166	180	398	592	557	400
AT1G25410	1	8914191	8915219	-	1029	0	0	0	0	0	0
AT1G25420	1	8915915	8918267	+	2353	891	858	1254	948	1416	763
AT1G25422	1	8918789	8919892	+	1104	82	88	105	25	55	32
AT1G25425	1	8922416	8923879	+	1464	95	90	153	137	173	93
AT1G05963	1	8924184	8924454	-	271	1	1	1	1	0	1
AT1G25440	1	8933716	8935544	-	1829	1723	1727	2553	4454	4456	2858
AT1G25450	1	8938387	8940613	-	2227	1907	1664	2864	2955	2992	1888
AT1G05967	1	8941002	8941202	+	201	1	0	0	0	0	1
AT1G25460	1	8942713	8944442	+	1730	31	24	46	49	56	27
AT1G25470	1	8944609	8946628	-	2020	580	517	707	605	854	583
AT1G25480	1	8948232	8951031	+	2800	280	236	378	462	632	333
AT1G25490	1	8951162	8955160	+	3999	4991	4138	6943	5560	7214	4441
AT1G25500	1	8955195	8958132	-	2938	186	181	312	259	394	215
AT1G25510	1	8959087	8961183	-	2097	542	471	744	343	608	398
AT1G25520	1	8962087	8964564	+	2478	956	907	1382	1559	1828	963
AT1G25530	1	8964544	8967562	-	3019	797	688	1039	422	926	439
AT1G25540	1	8969065	8974815	-	5751	1591	1159	2194	1805	2071	1333
AT1G25550	1	8976326	8978305	+	1980	3582	3085	5644	5366	5777	3388
AT1G25560	1	8981556	8983314	-	1759	1760	1893	3129	3310	3250	2040
AT1G25570	1	8991708	8995617	-	3910	2806	2336	3943	2643	3278	2194
AT1G25580	1	8996714	8999917	-	3204	846	833	1264	625	986	611
AT1G25682	1	9002285	9004762	-	2478	850	803	1362	1000	1117	731
AT1G25988	1	9016252	9017450	-	1199	0	0	0	1	1	0
AT1G26090	1	9020380	9022769	+	2390	535	436	661	602	760	472
AT1G05973	1	9020389	9020657	-	269	38	31	51	56	78	42
AT1G26100	1	9022542	9024081	-	1540	585	575	770	412	649	428
AT1G05977	1	9023037	9023508	+	472	75	70	109	55	88	60
AT1G26110	1	9024341	9027955	-	3615	8221	6462	11260	8926	10812	7054
AT1G26120	1	9028376	9032327	-	3952	874	780	1278	1016	1161	731
AT1G05983	1	9032668	9032898	-	231	0	0	0	2	0	0
AT1G26130	1	9033016	9039099	+	6084	625	482	775	676	787	601
AT1G26140	1	9038708	9039540	-	833	4	3	7	2	2	1
AT1G26150	1	9039628	9043855	-	4228	2363	1524	2838	3814	4115	2790
AT1G26160	1	9044422	9047049	-	2628	971	995	1439	1308	1394	900
AT1G26170	1	9047292	9054703	-	7412	1995	1612	2831	1753	2433	1606
AT1G26180	1	9054673	9056941	+	2269	727	611	967	831	1137	720
AT1G26190	1	9057095	9061140	-	4046	957	765	1316	642	991	651
AT1G26200	1	9063306	9065320	-	2015	61	86	119	56	50	44
AT1G26208	1	9065955	9071468	-	5514	1717	1686	2650	1217	1459	945
AT1G26210	1	9067039	9068207	+	1169	1359	1349	2181	939	1060	703
AT1G05987	1	9069770	9070183	+	414	1	1	0	1	0	1
AT1G26218	1	9071058	9072273	-	1216	342	369	474	372	521	340
AT1G26220	1	9071140	9071861	+	722	264	298	370	331	440	284
AT1G26230	1	9072256	9075350	-	3095	935	783	1280	1203	1796	1046
AT1G26225	1	9072634	9072835	+	202	119	91	122	118	176	113
AT1G26233	1	9076048	9076182	-	135	11	12	22	9	16	14
AT1G05993	1	9076304	9076386	-	83	5	2	4	1	5	2
AT1G05997	1	9076445	9076638	-	194	7	10	5	3	14	4
AT1G26235	1	9076447	9076572	-	126	4	6	5	2	12	4
AT1G26240	1	9077874	9079646	-	1773	72	40	113	167	82	103
AT1G26250	1	9083838	9085464	+	1627	1390	756	2261	4726	1465	1772
AT1G26255	1	9083856	9085651	-	1796	1390	756	2261	4728	1465	1772
AT1G26260	1	9086804	9089375	+	2572	236	213	289	191	311	171
AT1G26270	1	9089469	9092560	-	3092	1526	1694	2242	2701	2875	2230
AT1G26300	1	9095768	9099766	-	3999	933	945	1312	668	986	586
AT1G26290	1	9097643	9098964	+	1322	317	367	434	94	129	74
AT1G26310	1	9099994	9103644	-	3651	2	2	0	2	8	8
AT1G26320	1	9105038	9107231	+	2194	1	1	1	1	0	1
AT1G26330	1	9107519	9113747	+	6229	308	210	359	226	275	219
AT1G26340	1	9113864	9114977	+	1114	923	783	1198	842	1303	820
AT1G26350	1	9116010	9116781	-	772	0	0	0	0	0	0
AT1G26355	1	9117932	9118611	-	680	0	0	0	0	0	0
AT1G26360	1	9118822	9121227	-	2406	2	1	0	17	43	19
AT1G26370	1	9121443	9125578	-	4136	1432	1149	1862	1058	1576	1010
AT1G26380	1	9126737	9128568	-	1832	11	190	340	695	59	462
AT1G26390	1	9130013	9131779	-	1767	30	27	60	63	34	86
AT1G26400	1	9133291	9134874	-	1584	0	1	0	2	1	2
AT1G26410	1	9138604	9140439	-	1836	1	9	8	25	11	53
AT1G26420	1	9141519	9143336	-	1818	42	76	238	478	235	391
AT1G26430	1	9143810	9143883	+	74	0	0	0	1	0	0
AT1G26440	1	9143937	9146106	-	2170	521	452	783	894	1149	579
AT1G26450	1	9148636	9150250	-	1615	388	383	511	300	554	346
AT1G26460	1	9151628	9154762	+	3135	3016	2719	4260	3106	4393	2926
AT1G26470	1	9155091	9156370	+	1280	1296	1396	1904	1136	1729	998
AT1G26480	1	9156279	9158093	-	1815	2	1	3	0	2	3
AT1G26490	1	9158183	9158255	+	73	0	0	0	0	0	0
AT1G26500	1	9158380	9159897	+	1518	109	116	148	122	170	97
AT1G06003	1	9158571	9159254	-	684	58	62	79	65	82	49
AT1G26510	1	9159851	9161044	-	1194	5	13	9	5	16	13
AT1G26515	1	9161810	9162910	-	1101	2	2	2	2	0	2
AT1G26520	1	9163211	9165900	-	2690	561	570	767	397	656	401
AT1G26530	1	9165360	9167570	+	2211	210	202	221	143	242	152
AT1G26540	1	9167549	9170953	-	3405	429	368	589	282	554	328
AT1G26550	1	9171118	9173033	+	1916	3406	3563	4854	3887	5739	3205
AT1G26558	1	9175611	9177598	+	1988	4	5	1	0	3	2
AT1G26560	1	9178212	9181967	+	3756	640	539	761	217	526	254
AT1G26570	1	9182008	9184393	+	2386	620	565	879	509	739	496
AT1G26580	1	9184567	9187578	+	3012	2931	2593	3888	3018	3758	2234
AT1G26590	1	9188945	9190896	+	1952	38	53	58	22	51	24
AT1G26600	1	9191503	9192590	+	1088	72	55	89	80	119	54
AT1G26610	1	9193327	9195382	+	2056	7	6	12	6	16	15
AT1G26620	1	9195512	9199671	-	4160	683	564	948	583	781	499
AT1G26630	1	9205800	9207417	+	1618	28944	30655	42432	27433	41422	25551
AT1G26640	1	9207383	9209902	-	2520	782	787	1102	878	1284	794
AT1G26650	1	9210051	9211588	+	1538	883	753	1157	861	1133	711
AT1G26660	1	9211599	9214004	+	2406	456	405	576	353	619	396
AT1G26665	1	9214072	9215557	+	1486	912	984	1219	850	1100	708
AT1G26670	1	9215770	9218010	+	2241	1794	1821	2679	1615	1882	1038
AT1G26680	1	9219460	9223795	+	4336	51	30	39	33	62	39
AT1G26690	1	9224059	9225792	-	1734	2185	2391	3165	917	949	601
AT1G06007	1	9227341	9227548	-	208	0	0	1	1	2	0
AT1G26700	1	9227378	9232437	+	5060	6	2	7	16	63	27
AT1G26710	1	9232328	9233206	-	879	0	0	1	0	0	0
AT1G26720	1	9234099	9234939	-	841	3	2	2	10	11	1
AT1G06013	1	9240560	9240864	-	305	0	0	0	0	0	0
AT1G26730	1	9241036	9244918	+	3883	158	162	238	309	278	212
AT1G26740	1	9244981	9246652	-	1672	1055	1069	1371	839	1469	881
AT1G26750	1	9246857	9248274	+	1418	1511	1409	2019	1392	2013	1285
AT1G06017	1	9247263	9247559	-	297	265	204	344	219	332	204
AT1G26760	1	9248152	9249943	-	1792	231	237	255	168	301	233
AT1G26761	1	9250041	9251659	-	1619	301	273	409	481	794	436
AT1G26762	1	9253599	9254167	+	569	3	4	3	5	14	10
AT1G06023	1	9257086	9257400	+	315	0	0	0	0	0	0
AT1G26770	1	9259432	9261313	+	1882	628	709	992	1333	2002	1080
AT1G26773	1	9264404	9264580	+	177	0	0	0	0	0	0
AT1G26780	1	9270952	9272713	+	1762	17	19	12	11	40	17
AT1G26790	1	9273684	9275193	-	1510	0	2	8	2	1	3
AT1G26795	1	9276381	9276954	+	574	0	0	0	0	0	0
AT1G26796	1	9278953	9279482	+	530	0	0	0	0	0	0
AT1G26797	1	9280955	9281560	+	606	0	0	0	0	0	0
AT1G26798	1	9281791	9282341	+	551	0	0	0	0	0	0
AT1G26799	1	9283873	9284438	+	566	0	0	0	0	0	0
AT1G26800	1	9285025	9286395	-	1371	166	199	357	481	467	254
AT1G26810	1	9286643	9290096	-	3454	233	210	358	253	363	217
AT1G26815	1	9290870	9291301	-	432	1	0	0	1	1	0
AT1G06027	1	9291723	9292147	+	425	0	0	1	0	0	0
AT1G26820	1	9292446	9293862	-	1417	401	356	531	449	947	417
AT1G26830	1	9295565	9298629	+	3065	2943	2499	4183	3241	3990	2442
AT1G26840	1	9298670	9300800	+	2131	442	447	644	387	552	336
AT1G26850	1	9300806	9304328	-	3523	15927	14053	23005	13937	18321	11408
AT1G26870	1	9312936	9315122	+	2187	11	16	16	9	34	18
AT1G26880	1	9315305	9318277	-	2973	9073	8731	12078	7039	12385	7458
AT1G06033	1	9316015	9316161	-	147	32	40	58	40	64	34
AT1G26890	1	9317589	9319246	+	1658	17	22	21	30	43	18
AT1G26900	1	9319643	9321512	-	1870	277	259	391	333	482	284
AT1G26910	1	9321650	9323028	+	1379	2084	1975	2831	1618	2809	1568
AT1G06037	1	9325015	9325259	+	245	1	0	1	0	1	0
AT1G26920	1	9329493	9330612	+	1120	1610	1626	2557	1440	2696	1169
AT1G26921	1	9330944	9331201	-	258	0	0	0	0	1	0
AT1G26930	1	9336057	9337938	-	1882	1270	1325	1974	584	903	490
AT1G26940	1	9343112	9345323	+	2212	339	381	527	416	501	315
AT1G26945	1	9351160	9352833	+	1674	1331	953	1936	170	351	197
AT1G26960	1	9355827	9357502	+	1676	508	421	716	366	513	229
AT1G26970	1	9359325	9361833	+	2509	68	43	88	41	91	40
AT1G26973	1	9363196	9363288	-	93	0	0	0	0	0	0
AT1G26975	1	9364471	9364570	+	100	0	0	0	0	1	0
AT1G26976	1	9364749	9365610	+	862	0	0	0	1	0	1
AT1G26985	1	9367080	9367179	+	100	0	0	0	0	1	0
AT1G27000	1	9373885	9376828	+	2944	3163	3274	5067	4038	4565	2654
AT1G27008	1	9376788	9377491	-	704	0	0	5	2	2	0
AT1G27020	1	9378404	9380790	+	2387	2151	2470	5327	9279	8597	6956
AT1G27030	1	9381527	9384060	+	2534	1949	1735	3166	2468	5244	2491
AT1G27040	1	9386693	9390042	-	3350	2	5	5	3	8	2
AT1G27045	1	9391609	9393188	+	1580	3	6	2	3	7	2
AT1G27050	1	9393653	9394716	+	1064	893	933	1385	799	1212	683
